======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: RAT575
  Dimension:     575 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  390          8383.5202          0.002131    
  391          8250.4922          0.002117    
  392          8228.2362          0.002041    
  393          8021.7795          0.002074    
  394          8219.3412          0.002054    
  395          8228.8822          0.002045    
  396          8083.8500          0.001983    
  397          8143.6596          0.002049    
  398          8177.5390          0.002135    
  399          8118.4005          0.002092    
  400          8146.0918          0.002095    
  401          8069.2150          0.002102    
  402          8104.1364          0.002092    
  403          8136.7221          0.002031    
  404          8090.9594          0.001998    
  405          8237.1003          0.002097    
  406          8376.9934          0.002043    
  407          8101.5287          0.001995    
  408          8501.4719          0.001994    
  409          8612.3385          0.001991    
  410          8230.8759          0.002011    
  411          8628.7463          0.002002    
  412          8203.7169          0.002221    
  413          8399.4328          0.002063    
  414          8311.2742          0.002024    
  415          8312.2737          0.001993    
  416          8313.7482          0.001996    
  417          8300.7812          0.002001    
  418          8298.1215          0.002001    
  419          8263.6528          0.002043    
  420          8305.2744          0.002004    
  421          8170.8969          0.003235    
  422          8378.4613          0.002027    
  423          8332.3980          0.002005    
  424          8139.1021          0.002002    
  425          8223.8933          0.002066    
  426          8204.9564          0.002006    
  427          8205.9461          0.002030    
  428          8066.4540          0.001983    
  429          8289.0278          0.001962    
  430          8391.0148          0.001993    
  431          8416.5177          0.001996    
  432          8365.5620          0.001984    
  433          8365.1291          0.001978    
  434          8551.3119          0.003127    
  435          8359.9072          0.002514    
  436          8400.3365          0.001978    
  437          8281.6932          0.002006    
  438          8297.3507          0.001969    
  439          8256.3119          0.001984    
  440          8342.2890          0.001975    
  441          8324.1813          0.002109    
  442          8307.5209          0.002013    
  443          8331.6660          0.001987    
  444          8264.9104          0.001989    
  445          8324.7716          0.001988    
  446          8335.0772          0.001994    
  447          8250.4816          0.001997    
  448          8132.5532          0.002036    
  449          8389.7623          0.002046    
  450          8151.8713          0.002091    
  451          8160.7638          0.002071    
  452          8117.9872          0.002079    
  453          8377.5510          0.002040    
  454          8240.7276          0.002019    
  455          8335.2393          0.001987    
  456          8314.4737          0.002116    
  457          8373.3974          0.002016    
  458          8379.3652          0.002098    
  459          8425.5160          0.002007    
  460          8384.4553          0.001989    
  461          8298.5429          0.001992    
  462          8267.8661          0.001977    
  463          8305.6691          0.002016    
  464          8370.9894          0.001985    
  465          8267.9603          0.001968    
  466          8309.9660          0.001983    
  467          8323.0134          0.001979    
  468          8262.9294          0.001977    
  469          8313.5014          0.001986    
  470          8345.4972          0.001984    
  471          8184.5399          0.002035    
  472          8379.5323          0.001978    
  473          8300.3092          0.001966    
  474          8199.7914          0.001969    
  475          8123.9995          0.001990    
  476          8107.9160          0.001992    
  477          8270.9143          0.001993    
  478          8311.5285          0.002022    
  479          8413.4556          0.002038    
  480          8215.2604          0.001991    
  481          8176.0467          0.001984    
  482          8176.0467          0.001986    
  483          8389.4766          0.001987    
  484          8321.7231          0.001997    
  485          8236.0399          0.002001    
  486          8265.9201          0.002866    
  487          8211.5892          0.002478    
  488          8214.4091          0.002042    
  489          8300.1762          0.002055    
  490          8282.2099          0.002042    
  491          8326.9691          0.002040    
  492          8290.7863          0.001985    
  493          8245.0734          0.002053    
  494          8316.7561          0.001976    
  495          8235.9528          0.001989    
  496          8283.3414          0.001982    
  497          8187.2769          0.001993    
  498          8249.0294          0.001993    
  499          8291.6365          0.001999    
  500          8316.4296          0.002170    
  501          8384.3875          0.002074    
  502          8394.5837          0.001998    
  503          8380.9572          0.001981    
  504          8224.1261          0.001980    
  505          8371.9386          0.001981    
  506          8231.2113          0.002008    
  507          8198.9869          0.002042    
  508          8197.0507          0.002036    
  509          8277.8554          0.002069    
  510          8279.5430          0.002055    
  511          8201.5513          0.002033    
  512          8286.5159          0.002020    
  513          8280.1327          0.001997    
  514          8286.3166          0.002085    
  515          8271.4321          0.002083    
  516          8304.7030          0.001998    
  517          8312.0679          0.001982    
  518          8312.4336          0.001977    
  519          8296.0653          0.001973    
  520          8320.8594          0.001984    
  521          8262.6562          0.001989    
  522          8315.0917          0.002059    
  523          8324.9854          0.002004    
  524          8276.0675          0.002007    
  525          8404.1719          0.001994    
  526          8406.7493          0.001986    
  527          8359.7542          0.001989    
  528          8591.8861          0.001987    
  529          8217.6375          0.002020    
  530          8193.5544          0.002036    
  531          8207.8094          0.002002    
  532          8185.7000          0.002040    
  533          8235.0570          0.002021    
  534          8192.6150          0.002006    
  535          8254.4915          0.002001    
  536          8298.1299          0.002041    
  537          8319.0185          0.002026    
  538          8318.6516          0.001998    
  539          8325.1504          0.001991    
  540          8310.7353          0.002010    
  541          8336.6059          0.002006    
  542          8371.6338          0.002121    
  543          8335.5540          0.002013    
  544          8283.9704          0.001989    
  545          8277.6563          0.001984    
  546          8400.7086          0.001967    
  547          8390.0054          0.001977    
  548          8402.4578          0.001999    
  549          8300.9293          0.001995    
  550          8341.9376          0.002026    
  551          8367.3023          0.001992    
  552          8188.2639          0.001981    
  553          8188.4939          0.001983    
  554          8257.8653          0.001983    
  555          8187.0993          0.001986    
  556          8232.9851          0.001992    
  557          8248.3973          0.001998    
  558          8311.4169          0.002022    
  559          8415.6796          0.001982    
  560          8278.8780          0.002007    
  561          8345.0513          0.002001    
  562          8338.4565          0.001993    
  563          8356.5717          0.001997    
  564          8365.8334          0.001992    
  565          8430.9316          0.002098    
  566          8385.6496          0.002029    
  567          8287.0722          0.002044    
  568          8291.0691          0.002048    
  569          8377.4558          0.002039    
  570          8374.0305          0.002013    
  571          8441.5455          0.001977    
  572          8353.1457          0.001980    
  573          8361.8231          0.002009    
  574          8368.5984          0.001977    
  ------------------------------------------

  Best Start Node:  255
  Best Cost:        7972.3294
  Worst Cost:       8690.2579
  Average Cost:     8297.6917

  Best Path (First 10 nodes): [255, 253, 230, 231, 232, 209, 210, 211, 188, 187]...
======================================================================
